,fill_rate,from_warehouse,kind
409,0.5988984615384615,Cergy,Scenario 3
410,0.867364923076923,Cergy,Scenario 3
411,0.7767926153846154,Cergy,Scenario 3
412,0.7969316923076925,Cergy,Scenario 3
413,0.9940504615384615,Cergy,Scenario 3
414,0.9696615384615385,Cergy,Scenario 3
415,0.8902239999999999,Cergy,Scenario 3
416,0.9946067692307693,Cergy,Scenario 3
417,0.8999704615384616,Cergy,Scenario 3
418,0.2729796923076923,Montauban,Scenario 3
419,0.9933673846153847,Montauban,Scenario 3
420,0.621963076923077,Épinal,Scenario 3
421,0.9069156923076922,Épinal,Scenario 3
422,0.9155815384615383,Rennes,Scenario 3
423,0.9972110769230771,Avignon,Scenario 3
424,0.9020553846153845,Avignon,Scenario 3
425,0.7054350769230769,Avignon,Scenario 3
426,0.9152344615384617,Avignon,Scenario 3
427,0.892294153846154,Cergy,Scenario 3
428,0.8371876923076923,Cergy,Scenario 3
429,0.9801575384615386,Cergy,Scenario 3
430,0.8609255384615384,Cergy,Scenario 3
431,0.9916406153846155,Cergy,Scenario 3
432,0.9175963076923076,Cergy,Scenario 3
433,0.9597809230769232,Cergy,Scenario 3
434,0.8610904615384616,Cergy,Scenario 3
435,0.8714879999999999,Montauban,Scenario 3
436,0.5464246153846155,Montauban,Scenario 3
437,0.16387938461538462,Épinal,Scenario 3
438,0.9038412307692307,Épinal,Scenario 3
439,0.8524615384615385,Épinal,Scenario 3
440,0.6342953846153846,Rennes,Scenario 3
441,0.946016,Rennes,Scenario 3
442,0.9278313846153847,Rennes,Scenario 3
443,0.9167113846153846,Avignon,Scenario 3
444,0.7956984615384617,Avignon,Scenario 3
445,0.8379692307692307,Avignon,Scenario 3
446,0.863872,Avignon,Scenario 3
447,0.8133636923076923,Avignon,Scenario 3
448,0.8996184615384615,Avignon,Scenario 3
449,0.8124295384615385,Avignon,Scenario 3
450,0.8823741538461539,Avignon,Scenario 3
451,0.9445218461538462,Avignon,Scenario 3
452,0.787648,Avignon,Scenario 3
453,0.8716258461538461,Avignon,Scenario 3
454,0.6603421538461539,Cergy,Scenario 3
455,0.7733070769230771,Cergy,Scenario 3
456,0.9827790769230769,Cergy,Scenario 3
457,0.9702719999999999,Cergy,Scenario 3
458,0.7398375384615384,Cergy,Scenario 3
459,0.6829735384615384,Cergy,Scenario 3
460,0.9228160000000001,Cergy,Scenario 3
461,0.996928,Cergy,Scenario 3
462,0.9847950769230771,Cergy,Scenario 3
463,0.9893747692307693,Cergy,Scenario 3
464,0.946036923076923,Cergy,Scenario 3
465,0.9668566153846154,Cergy,Scenario 3
466,0.9464664615384616,Cergy,Scenario 3
467,0.8704664615384614,Cergy,Scenario 3
468,0.9905649230769231,Cergy,Scenario 3
469,0.5794141538461538,Montauban,Scenario 3
470,0.7313415384615386,Montauban,Scenario 3
471,0.9208147692307692,Montauban,Scenario 3
472,0.9334326153846153,Montauban,Scenario 3
473,0.629092923076923,Montauban,Scenario 3
474,0.8714879999999999,Montauban,Scenario 3
475,0.5947175384615384,Épinal,Scenario 3
476,0.8627446153846153,Épinal,Scenario 3
477,0.6598227692307693,Rennes,Scenario 3
478,0.9909009230769231,Rennes,Scenario 3
479,0.7481033846153846,Rennes,Scenario 3
